ilan_No;ilan_tarihi;marka;seri;model;yil;yakit;vites;km;renk;motor_gucu;motor_hacim;kasa_tipi;fiyat
685035401;17.04.2019;BMW;3;320d Standart ;2004;1;0;211.000;6;150;1995;sedan;55.000
684229696;15.04.2019;BMW;3;320d Standart ;2004;1;0;280.000;6;150;1995;sedan;47.500
656315715;15.04.2019;BMW;3;320d Standart ;2010;1;0;205.000;1;200;2000;sedan;95.000
684981427;17.04.2019;BMW;3;320d Standart ;2011;1;0;119.000;1;184;1995;sedan;107.000
674811471;15.04.2019;BMW;3;320d Standart ;2012;1;0;108.500;2;184;1995;sedan;125.000
636862903;17.04.2019;BMW;3;320d Standart ;2007;1;0;143.000;7;163;1995;sedan;77.000
684974612;17.04.2019;BMW;3;320d Standart ;2006;1;0;265.000;5;163;1995;sedan;69.500
684448175;16.04.2019;BMW;3;320d Standart ;2006;1;0;220.000;5;163;1995;sedan;80.000
683975169;14.04.2019;BMW;3;320d Standart ;2006;1;0;201.500;2;163;1995;sedan;69.750
684011388;14.04.2019;BMW;3;320d Standart ;2012;1;0;186.000;1;184;1995;sedan;127.500
684807088;16.04.2019;BMW;3;320d Standart ;2006;1;0;268.000;6;163;1995;sedan;72.750
678256306;16.04.2019;BMW;3;320d Standart ;2006;1;0;228.000;2;163;1995;sedan;72.000
684775584;16.04.2019;BMW;3;320d Standart ;2003;1;0;260.000;2;150;1995;sedan;50.000
684757834;16.04.2019;BMW;3;320d Standart ;2006;1;0;299.000;2;163;1995;sedan;53.750
573294168;14.04.2019;BMW;3;320d Standart ;2003;1;0;269.000;3;150;1995;sedan;56.500
684742878;16.04.2019;BMW;3;320d Standart ;2006;1;0;197.000;2;163;1995;sedan;88.500
682807153;15.04.2019;BMW;3;320d Standart ;2006;1;0;337.000;2;163;1995;sedan;76.000
638563790;14.04.2019;BMW;3;320d Standart ;2006;1;0;228.000;2;163;1995;sedan;69.999
684695049;16.04.2019;BMW;3;320d Standart ;2012;1;0;203.000;1;184;1995;sedan;109.000
624224829;16.04.2019;BMW;3;320d Standart ;2012;1;0;117.400;1;184;1995;sedan;118.500
671454604;14.04.2019;BMW;3;320d Standart ;1998;1;1;154.000;3;136;1951;sedan;47.500
667768367;14.04.2019;BMW;3;320d Standart ;2013;1;0;210.000;8;184;1995;sedan;109.000
684214915;15.04.2019;BMW;3;320d Standart ;2010;1;0;180.000;2;177;1995;sedan;85.000
660796289;17.04.2019;BMW;3;320d Standart ;2003;1;0;380.000;2;150;1995;sedan;44.900
654160159;14.04.2019;BMW;3;320d Standart ;2011;1;0;248.000;1;184;1995;sedan;81.250
684415472;15.04.2019;BMW;3;320d Standart ;2005;1;0;340.000;5;150;1995;sedan;45.750
684411583;15.04.2019;BMW;3;320d Standart ;2007;1;0;330.000;2;163;1995;sedan;65.500
669749451;13.04.2019;BMW;3;320d Standart ;2006;1;0;203.000;2;163;1995;sedan;74.000
683596382;13.04.2019;BMW;3;320d Standart ;2012;1;0;195.000;1;184;1995;sedan;143.000
672787729;15.04.2019;BMW;3;320d Standart ;2006;1;0;210.000;2;163;1995;sedan;61.000
683962623;14.04.2019;BMW;3;320d Standart ;2012;1;0;139.000;2;184;1995;sedan;149.500
683534449;13.04.2019;BMW;3;320d Standart ;2011;1;0;126.000;2;184;1995;sedan;105.000
637899991;13.04.2019;BMW;3;320d Standart ;2009;1;0;201.000;1;177;1995;sedan;103.000
651600202;13.04.2019;BMW;3;320d Standart ;2005;1;0;298.000;2;163;1995;sedan;64.000
684237301;15.04.2019;BMW;3;320d Standart ;2010;1;0;240.000;2;184;1995;sedan;81.500
684232062;15.04.2019;BMW;3;320d Standart ;2006;1;0;250.000;2;163;1995;sedan;79.999
684246794;15.04.2019;BMW;3;320d Standart ;2006;1;0;269.000;2;163;1995;sedan;69.750
683495872;13.04.2019;BMW;3;320d Standart ;2010;1;0;190.000;1;184;1995;sedan;86.500
636159992;14.04.2019;BMW;3;320d Standart ;2006;1;0;218.000;6;163;1995;sedan;72.500
11247156;10.Nis.19;BMW;3;320d Standart;2006;1;0;260.000;9;175;2000;sedan;62.500
11286887;17.Nis.19;BMW;3;320d Standart;2006;1;0;223.000;2;175;2000;sedan;72.000
11286446;17.Nis.19;BMW;3;320d Standart;2003;1;1;203.000;5;150;2000;sedan;48.000
11285810;16.Nis.19;BMW;3;320d Standart;2006;1;0;275.000;2;175;2000;sedan;72.500
11283925;16.Nis.19;BMW;3;320d Standart;2000;1;1;304.000;2;136;1951;sedan;37.500
11283910;16.Nis.19;BMW;3;320d Standart;2006;1;0;280.000;2;175;2000;sedan;69.900
